Task ID,Name,D_base,D_min,Cost Base ($),Cost Crashed ($),Delta Cost ($),Delta Days,Slope ($/day)
107,Complete interior and exterior sod and plantings,10,5,3600.0,5839.63,2239.63,5.0,447.93
104,Hang wallpaper,10,5,3600.0,5839.63,2239.63,5.0,447.93
51,Install stairs and miscellaneous iron railing,10,5,3000.0,4866.36,1866.36,5.0,373.27
32,Excavate foundations,10,5,2800.0,4541.94,1741.94,5.0,348.39
59,Form 3rd floor including all floor openings,5,3,1340.0,2173.64,833.64,2.5,333.46
43,Strip column piers and foundation forms,3,2,720.0,1167.93,447.93,1.5,298.62
8,Submit monthly requests for payment,1,1,240.0,389.31,149.31,0.5,298.62
58,Strip forms from 2nd floor slab,2,1,480.0,778.62,298.62,1.0,298.62
68,Strip forms from roof slab,2,1,480.0,778.62,298.62,1.0,298.62
134,Remove debris from building and do final clean-up,4,2,960.0,1557.24,597.24,2.0,298.62
75,Strip forms from 1st floor slab,2,1,480.0,778.62,298.62,1.0,298.62
63,Strip forms from 3rd floor slab,2,1,480.0,778.62,298.62,1.0,298.62
85,Clean toilet room tile,5,3,1100.0,1784.33,684.33,2.5,273.73
133,Clean hard tile floors,4,2,880.0,1427.47,547.47,2.0,273.73
84,Clean masonry,5,3,1100.0,1784.33,684.33,2.5,273.73
52,Touch-up paint on steel,5,3,600.0,973.27,373.27,2.5,149.31
62,Cure 3rd floor slab,7,4,168.0,272.52,104.52,3.5,29.86
67,Cure roof slab,7,4,168.0,272.52,104.52,3.5,29.86
41,Cure piers and foundations,7,4,168.0,272.52,104.52,3.5,29.86
40,Cure elevator wall concrete,7,4,168.0,272.52,104.52,3.5,29.86
42,Strip wall forms,1,1,24.0,38.93,14.93,0.5,29.86
57,Cure 2nd floor slab,7,4,168.0,272.52,104.52,3.5,29.86
74,Cure 1st floor slab,7,4,168.0,272.52,104.52,3.5,29.86
