ID,Active,Task Mode,Name,Duration,Start,Finish,Predecessors,Outline Level,Notes
33,Yes,Auto Scheduled,Excavate elevator pit,2 days,6 July 2023 8:00 AM,7 July 2023 5:00 PM,30,2,
34,Yes,Auto Scheduled,Form column piers and spread foundations,4 days,20 July 2023 8:00 AM,25 July 2023 5:00 PM,32,2,
35,Yes,Auto Scheduled,Rough-in electric and plumbing in elevator,4 days,10 July 2023 8:00 AM,13 July 2023 5:00 PM,33,2,
36,Yes,Auto Scheduled,Form elevator pit walls,4 days,14 July 2023 8:00 AM,19 July 2023 5:00 PM,35,2,
37,Yes,Auto Scheduled,Set reinforcing and anchor bolts,4 days,26 July 2023 8:00 AM,31 July 2023 5:00 PM,34,2,
38,Yes,Auto Scheduled,Pour column piers and foundations,5 days,1 August 2023 8:00 AM,7 August 2023 5:00 PM,37,2,
39,Yes,Auto Scheduled,Pour concrete elevator walls,1 day,20 July 2023 8:00 AM,20 July 2023 5:00 PM,36,2,
40,Yes,Auto Scheduled,Cure elevator wall concrete,7 days,21 July 2023 8:00 AM,31 July 2023 5:00 PM,39,2,
41,Yes,Auto Scheduled,Cure piers and foundations,7 days,8 August 2023 8:00 AM,16 August 2023 5:00 PM,38,2,
42,Yes,Auto Scheduled,Strip wall forms,1 day,1 August 2023 8:00 AM,1 August 2023 5:00 PM,40,2,
43,Yes,Auto Scheduled,Strip column piers and foundation forms,3 days,17 August 2023 8:00 AM,21 August 2023 5:00 PM,41,2,
44,Yes,Auto Scheduled,Install pneumatic tube in elevator pit,3 days,2 August 2023 8:00 AM,4 August 2023 5:00 PM,42,2,
45,Yes,Auto Scheduled,Prepare and pour concrete floor in elevator pit,1 day,7 August 2023 8:00 AM,7 August 2023 5:00 PM,44,2,
46,Yes,Auto Scheduled,Steel Erection,45 days,22 August 2023 8:00 AM,23 October 2023 5:00 PM,,1,
47,Yes,Auto Scheduled,"Erect steel columns, beams and joist - 1st and 2nd floors",2 wks,22 August 2023 8:00 AM,4 September 2023 5:00 PM,"43,16",2,
48,Yes,Auto Scheduled,"Erect steel columns, beams and joist - 3rd floor and roof",2 wks,5 September 2023 8:00 AM,18 September 2023 5:00 PM,47,2,
49,Yes,Auto Scheduled,Install miscellaneous iron and bracing - 1st and 2nd floors,2 wks,5 September 2023 8:00 AM,18 September 2023 5:00 PM,47,2,
50,Yes,Auto Scheduled,Install miscellaneous iron and bracing - 3rd floor and roof,2 wks,19 September 2023 8:00 AM,2 October 2023 5:00 PM,48,2,
51,Yes,Auto Scheduled,Install stairs and miscellaneous iron railing,2 wks,3 October 2023 8:00 AM,16 October 2023 5:00 PM,50,2,
52,Yes,Auto Scheduled,Touch-up paint on steel,1 wk,17 October 2023 8:00 AM,23 October 2023 5:00 PM,51,2,
53,Yes,Auto Scheduled,Form and Pour Concrete - Floors and Roof,85 days,5 September 2023 8:00 AM,1 January 2024 5:00 PM,,1,
54,Yes,Auto Scheduled,Form 2nd floor including all floor openings,5 days,24 October 2023 8:00 AM,30 October 2023 5:00 PM,"52,13,14,15,47",2,
55,Yes,Auto Scheduled,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5 days,5 September 2023 8:00 AM,11 September 2023 5:00 PM,47,2,
56,Yes,Auto Scheduled,Pour 2nd floor slab,4 days,31 October 2023 8:00 AM,3 November 2023 5:00 PM,"55,54",2,
57,Yes,Auto Scheduled,Cure 2nd floor slab,7 days,6 November 2023 8:00 AM,14 November 2023 5:00 PM,56,2,
58,Yes,Auto Scheduled,Strip forms from 2nd floor slab,2 days,15 November 2023 8:00 AM,16 November 2023 5:00 PM,57,2,
59,Yes,Auto Scheduled,Form 3rd floor including all floor openings,5 days,15 November 2023 8:00 AM,21 November 2023 5:00 PM,57,2,
60,Yes,Auto Scheduled,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5 days,15 November 2023 8:00 AM,21 November 2023 5:00 PM,57,2,
61,Yes,Auto Scheduled,Pour 3rd floor slab,4 days,22 November 2023 8:00 AM,27 November 2023 5:00 PM,"60,59",2,
62,Yes,Auto Scheduled,Cure 3rd floor slab,7 days,28 November 2023 8:00 AM,6 December 2023 5:00 PM,61,2,
63,Yes,Auto Scheduled,Strip forms from 3rd floor slab,2 days,7 December 2023 8:00 AM,8 December 2023 5:00 PM,62,2,
64,Yes,Auto Scheduled,Form roof slab including all floor openings,5 days,7 December 2023 8:00 AM,13 December 2023 5:00 PM,62,2,
65,Yes,Auto Scheduled,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5 days,7 December 2023 8:00 AM,13 December 2023 5:00 PM,62,2,
66,Yes,Auto Scheduled,Pour roof slab,4 days,14 December 2023 8:00 AM,19 December 2023 5:00 PM,"65,64",2,
67,Yes,Auto Scheduled,Cure roof slab,7 days,20 December 2023 8:00 AM,28 December 2023 5:00 PM,66,2,
68,Yes,Auto Scheduled,Strip forms from roof slab,2 days,29 December 2023 8:00 AM,1 January 2024 5:00 PM,67,2,
69,Yes,Auto Scheduled,Form 1st floor,4 days,17 November 2023 8:00 AM,22 November 2023 5:00 PM,58,2,
70,Yes,Auto Scheduled,Install electrical underground,1 wk,17 November 2023 8:00 AM,23 November 2023 5:00 PM,58,2,
71,Yes,Auto Scheduled,Install plumbing underground,1 wk,17 November 2023 8:00 AM,23 November 2023 5:00 PM,58,2,
72,Yes,Auto Scheduled,Install rebar and in-floor utilities,4 days,17 November 2023 8:00 AM,22 November 2023 5:00 PM,58,2,
73,Yes,Auto Scheduled,Pour 1st floor slab,4 days,24 November 2023 8:00 AM,29 November 2023 5:00 PM,"69,72,70,71",2,
74,Yes,Auto Scheduled,Cure 1st floor slab,7 days,30 November 2023 8:00 AM,8 December 2023 5:00 PM,73,2,
75,Yes,Auto Scheduled,Strip forms from 1st floor slab,2 days,11 December 2023 8:00 AM,12 December 2023 5:00 PM,74,2,
76,Yes,Auto Scheduled,Carpentry Work,15 days,2 January 2024 8:00 AM,22 January 2024 5:00 PM,,1,
77,Yes,Auto Scheduled,Install exterior sheathing and metal studs,3 wks,2 January 2024 8:00 AM,22 January 2024 5:00 PM,"63,68",2,
78,Yes,Auto Scheduled,Masonry Work,110 days,3 October 2023 8:00 AM,4 March 2024 5:00 PM,,1,
79,Yes,Auto Scheduled,Rough-in plumbing at toilets and masonry walls,4 wks,13 December 2023 8:00 AM,9 January 2024 5:00 PM,"75,13",2,
80,Yes,Auto Scheduled,"Lay masonry at core, mechanical, and toilets",4 wks,3 October 2023 8:00 AM,30 October 2023 5:00 PM,"49,50",2,
81,Yes,Auto Scheduled,Install exterior masonry work,5 wks,23 January 2024 8:00 AM,26 February 2024 5:00 PM,77,2,
82,Yes,Auto Scheduled,Install roof drains,2 days,27 February 2024 8:00 AM,28 February 2024 5:00 PM,81,2,
83,Yes,Auto Scheduled,Install tile in toilet rooms,2 wks,10 January 2024 8:00 AM,23 January 2024 5:00 PM,79,2,
84,Yes,Auto Scheduled,Clean masonry,1 wk,27 February 2024 8:00 AM,4 March 2024 5:00 PM,81,2,
85,Yes,Auto Scheduled,Clean toilet room tile,1 wk,24 January 2024 8:00 AM,30 January 2024 5:00 PM,83,2,
86,Yes,Auto Scheduled,Roofing,31 days,27 February 2024 8:00 AM,9 April 2024 5:00 PM,,1,
87,Yes,Auto Scheduled,Install flashing at parapet walls,4 days,27 February 2024 8:00 AM,1 March 2024 5:00 PM,81,2,
88,Yes,Auto Scheduled,Pour lightweight concrete roof fill,2 days,4 March 2024 8:00 AM,5 March 2024 5:00 PM,"11,82,87",2,
89,Yes,Auto Scheduled,Install seamless roofing material,5 days,13 March 2024 8:00 AM,19 March 2024 5:00 PM,88FS+5d,2,
90,Yes,Auto Scheduled,Spread stone ballast on seamless roof,5 days,20 March 2024 8:00 AM,26 March 2024 5:00 PM,89,2,
91,Yes,Auto Scheduled,Set rooftop equipment,2 wks,27 March 2024 8:00 AM,9 April 2024 5:00 PM,90,2,
92,Yes,Auto Scheduled,Window wall and store front closures,60 days,27 February 2024 8:00 AM,20 May 2024 5:00 PM,,1,
93,Yes,Auto Scheduled,Install window wall aluminum and glass,5 wks,27 February 2024 8:00 AM,1 April 2024 5:00 PM,81,2,
94,Yes,Auto Scheduled,Install interior stud walls and drywall,5 wks,2 April 2024 8:00 AM,6 May 2024 5:00 PM,93,2,
95,Yes,Auto Scheduled,Install interior doors and hardware,2 wks,7 May 2024 8:00 AM,20 May 2024 5:00 PM,94,2,
96,Yes,Auto Scheduled,Install store front doors and hardware,3 wks,27 February 2024 8:00 AM,18 March 2024 5:00 PM,81,2,
97,Yes,Auto Scheduled,Building Finishes,80 days,2 April 2024 8:00 AM,22 July 2024 5:00 PM,,1,
98,Yes,Auto Scheduled,Install millwork and wood trim,3 wks,7 May 2024 8:00 AM,27 May 2024 5:00 PM,"96,94",2,
99,Yes,Auto Scheduled,Paint walls and woodwork,4 wks,28 May 2024 8:00 AM,24 June 2024 5:00 PM,"98,95",2,
100,Yes,Auto Scheduled,Install conduit at ceiling plenum space,3 wks,2 April 2024 8:00 AM,22 April 2024 5:00 PM,93,2,
101,Yes,Auto Scheduled,Install duct in ceiling plenum space,3 wks,7 May 2024 8:00 AM,27 May 2024 5:00 PM,"94,100",2,
102,Yes,Auto Scheduled,Install ceiling grid,2 wks,28 May 2024 8:00 AM,10 June 2024 5:00 PM,"94,101",2,
103,Yes,Auto Scheduled,Install ceiling tile,2 wks,11 June 2024 8:00 AM,24 June 2024 5:00 PM,102,2,
104,Yes,Auto Scheduled,Hang wallpaper,2 wks,11 June 2024 8:00 AM,24 June 2024 5:00 PM,102,2,
105,Yes,Auto Scheduled,Install building carpet,4 wks,25 June 2024 8:00 AM,22 July 2024 5:00 PM,99,2,
106,Yes,Auto Scheduled,Install hardware and accessories,3 wks,25 June 2024 8:00 AM,15 July 2024 5:00 PM,99,2,
107,Yes,Auto Scheduled,Complete interior and exterior sod and plantings,2 wks,25 June 2024 8:00 AM,8 July 2024 5:00 PM,99,2,
108,Yes,Auto Scheduled,"Pave, curb, and stripe parking lot",2 wks,9 July 2024 8:00 AM,22 July 2024 5:00 PM,107,2,
109,Yes,Auto Scheduled,Elevators,40 days,31 October 2023 8:00 AM,25 December 2023 5:00 PM,,1,
110,Yes,Auto Scheduled,Set elevator equipment in shafts,4 wks,31 October 2023 8:00 AM,27 November 2023 5:00 PM,"80,45,12",2,
111,Yes,Auto Scheduled,Set equipment in mechanical room,2 wks,28 November 2023 8:00 AM,11 December 2023 5:00 PM,110,2,
112,Yes,Auto Scheduled,Test and align doors and equipment,2 wks,12 December 2023 8:00 AM,25 December 2023 5:00 PM,111,2,
113,Yes,Auto Scheduled,Plumbing,90 days,5 March 2024 8:00 AM,8 July 2024 5:00 PM,,1,
114,Yes,Auto Scheduled,Rough-in plumbing in drywall walls,4 wks,2 April 2024 8:00 AM,29 April 2024 5:00 PM,93,2,
115,Yes,Auto Scheduled,Tie-in fire line riser and set valves,2 wks,5 March 2024 8:00 AM,18 March 2024 5:00 PM,84,2,
116,Yes,Auto Scheduled,Set plumbing fixtures and trim,3 wks,30 April 2024 8:00 AM,20 May 2024 5:00 PM,"85,114,79",2,
117,Yes,Auto Scheduled,"Flush, test, and clean piping and fixtures",2 wks,25 June 2024 8:00 AM,8 July 2024 5:00 PM,"99,115,116",2,
118,Yes,Auto Scheduled,Electrical,139 days,13 December 2023 8:00 AM,24 June 2024 5:00 PM,,1,
119,Yes,Auto Scheduled,Rough-in electrical in masonry walls,4 wks,13 December 2023 8:00 AM,9 January 2024 5:00 PM,"75,14",2,
120,Yes,Auto Scheduled,Rough-in electrical in drywall walls,4 wks,2 April 2024 8:00 AM,29 April 2024 5:00 PM,93,2,
121,Yes,Auto Scheduled,Pull wire in conduit and set area transformers,3 wks,23 April 2024 8:00 AM,13 May 2024 5:00 PM,"119,100",2,
122,Yes,Auto Scheduled,Install and terminate electrical devices,3 wks,14 May 2024 8:00 AM,3 June 2024 5:00 PM,"121,120",2,
123,Yes,Auto Scheduled,Make electrical terminations for HVAC equipment,2 days,14 May 2024 8:00 AM,15 May 2024 5:00 PM,"121,91",2,
124,Yes,Auto Scheduled,Install light fixtures - test and clean,2 wks,11 June 2024 8:00 AM,24 June 2024 5:00 PM,"102,122",2,
125,Yes,Auto Scheduled,Heating and Ventilating - AC,180 days,31 October 2023 8:00 AM,8 July 2024 5:00 PM,,1,
126,Yes,Auto Scheduled,Set equipment in mechanical room,2 wks,31 October 2023 8:00 AM,13 November 2023 5:00 PM,"80,15",2,
127,Yes,Auto Scheduled,Rough-in mechanical in masonry walls,4 wks,13 December 2023 8:00 AM,9 January 2024 5:00 PM,75,2,
128,Yes,Auto Scheduled,Rough-in mechanical in drywall walls,2 wks,2 April 2024 8:00 AM,15 April 2024 5:00 PM,93,2,
129,Yes,Auto Scheduled,Install duct in building chase,3 wks,2 April 2024 8:00 AM,22 April 2024 5:00 PM,"126,127,93",2,
130,Yes,Auto Scheduled,Set HVAC trim and test and balance system,4 wks,11 June 2024 8:00 AM,8 July 2024 5:00 PM,"102,129,123",2,
131,Yes,Auto Scheduled,Final Clean-up and Occupancy,60 days,7 May 2024 8:00 AM,29 July 2024 5:00 PM,,1,
132,Yes,Auto Scheduled,Install hard tile flooring in common areas,1 wk,7 May 2024 8:00 AM,13 May 2024 5:00 PM,94,2,
133,Yes,Auto Scheduled,Clean hard tile floors,4 days,14 May 2024 8:00 AM,17 May 2024 5:00 PM,132,2,
134,Yes,Auto Scheduled,Remove debris from building and do final clean-up,4 days,23 July 2024 8:00 AM,26 July 2024 5:00 PM,"105,104,106,107,117,124,103,133",2,
135,Yes,Auto Scheduled,Substantial completion date,1 day,29 July 2024 8:00 AM,29 July 2024 5:00 PM,134,2,
136,Yes,Auto Scheduled,Complete Final Inspections,6 days,29 July 2024 8:00 AM,5 August 2024 5:00 PM,,1,
137,Yes,Auto Scheduled,Complete elevator inspection and certification,3 days,29 July 2024 8:00 AM,31 July 2024 5:00 PM,"134,112",2,
138,Yes,Auto Scheduled,Perform architect's inspection,1 day,1 August 2024 8:00 AM,1 August 2024 5:00 PM,"134,108,137",2,
139,Yes,Auto Scheduled,Perform local building agency inspection,1 day,2 August 2024 8:00 AM,2 August 2024 5:00 PM,138,2,
140,Yes,Auto Scheduled,Perform Fire Marshal's inspection,1 day,5 August 2024 8:00 AM,5 August 2024 5:00 PM,139,2,
141,Yes,Auto Scheduled,Complete punch list items from all inspections,2 wks,6 August 2024 8:00 AM,19 August 2024 5:00 PM,140,1,
142,Yes,Auto Scheduled,Obtain certificate of occupancy,2 days,20 August 2024 8:00 AM,21 August 2024 5:00 PM,141,1,
143,Yes,Auto Scheduled,Issue final completion documents including warranties,1 day,20 August 2024 8:00 AM,20 August 2024 5:00 PM,141,1,
144,Yes,Auto Scheduled,Issue final request for payment,1 day,22 August 2024 8:00 AM,22 August 2024 5:00 PM,"142,143",1,
